url	company	normalized_title	location	date_first_seen	score	grade	status	last_attempt_at	attempt_count
	Automated Architecture (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Stately (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Doctronic (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	WINN.AI (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Qualified Health (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Voize (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Trial Library (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Eudia (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Sequence (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Pace (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Sixfold (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Stand (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Indigo (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	XILO (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Angle Health (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Ambience Healthcare (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	OpenEvidence (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	AdvancedMD (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	MedSpeed (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Quility (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Coalition (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Everlaw (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Clio (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	ServiceUp (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	FurtherAI (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Alex (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Shapes (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	AppZen (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Xoople (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Insight Health (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Glimpse (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Harvey (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Axiamatic (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Rebellions (2026-04-14)			2026-04-21			seen	2026-04-21	1
	XFX (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Aetherflux (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Zatanna (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Fenrock AI (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Rubric AI (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Button (2026-04-14)			2026-04-21			seen	2026-04-21	1
